"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"1";"";"LED-GREEN";"LED-0603";"LED1";"LEDs";"Avago";"HSMG-C190";"";"";"";"";
"10";"0.1uF";"CAPACITOR-0.1UF";"0603-CAP";"C2, C4, C5, C11, C14, C16, C18, C19, C21, C22";"";"Kemet";"C0603C104J3RACTU";"";"";"";"0.1uF";
"1";"1.2M";"RESISTOR-1.2M";"0603-RES";"R7";"Resistor";"Panasonic";"ERJ-3GEYJ125V";"";"";"";"1.2M";
"1";"10K";"RESISTOR-10K";"0603-RES";"R2";"Resistor";"Panasonic";"ERJ-3GEYJ103V";"";"";"";"10K";
"1";"10uF";"CAPACITOR-10UF";"0603-CAP";"C1";"";"Murata";"GRM188R60J106ME47D";"";"";"";"10uF";
"1";"16Mhz/8pF";"CRYSTAL/SMD-5X3-GND16MHZ/8PF";"CRYSTAL-SMD-5X3";"Y2";"";"ECS";"ECS-160-8-30B-CKM";"";"";"";"16Mhz/8pF";
"1";"1981584-1";"1981584-1";"1981584-1";"J1";"Receptacle, micro-USB, type A/B";"Hirose";"ZX62-AB-5PA(11) ";"";"";"";"";
"1";"1K";"RESISTOR-1K";"0603-RES";"R10";"Resistor";"Panasonic";"ERJ-3GEYJ102V";"";"";"";"1K";
"2";"2.2uF";"CAPACITOR-2.2UF";"0603-CAP";"C17, C20";"";"Kemet";"C0603C225K4PACTU";"";"";"";"2.2uF";
"1";"2.2uH, 2.1A";"LPS30152.2UH";"LPS3015";"L1";"Shielded Power Inductor";"Coilcraft";"LPS3015-222MRB";"";"";"";"2.2uH, 2.1A";
"2";"220K";"RESISTOR-220K";"0603-RES";"R4, R6";"Resistor";"Panasonic";"ERJ-3GEYJ224V";"";"";"";"220K";
"1";"22uF";"CAPACITOR-22UF";"0603-CAP";"C3";"";"Murata";"GRM188R60J226MEA0D";"";"";"";"22uF";
"1";"2M";"RESISTOR-2M";"0603-RES";"R3";"Resistor";"Panasonic";"ERJ-3GEYJ205V";"";"";"";"2M";
"1";"32.768KHz";"CRYSTAL/32.768KHZ/SMD-TXC_7A";"CRYSTAL-TXC-7A";"Y1";"";"Epson Timing";"FC-255 32.7680K-A3";"";"";"";"";
"1";"33";"2R-NEXB34V";"EXB34V";"RN1";"Array Chip Resistor";"Panasonic";"EXB-34V330JV";"unknown";"unknown";"";"";
"3";"470";"RESISTOR-470";"0603-RES";"R9, R16, R30";"Resistor";"Panasonic";"ERJ-3GEYJ471V";"";"";"";"470";
"3";"600 Ohm/100 Mhz";"INDUCTOR-BK2125HM601-T";"0805";"L2, L3, L4";"Inductors";"Taiyo Yuden";"BK2125HM601-T";"";"";"";"600 Ohm/100 Mhz";
"1";"AMBER/ 592 nm";"LED-AMBER";"LED-0603";"LED";"LEDs";"Avago Technologies";"HSMA-C190";"";"";"";"AMBER/ 592 nm";
"1";"MINI54TAN";"MINI54TAN";"MINI54TAN";"U3";"MINI54TAN Bootloader from PJRC.com, preprogrammed with Teensy 3.0 bootloader.";"";"";"";"";"";"";
"1";"MK20DX256VLH7";"MK20DX256VLH7";"MK20DX256VLH7";"U1";"";"Freescale";"MK20DX256VLH7";"";"";"";"";
"1";"Program";"SWITCH-MOMENTARY-2-SMD-1101NE";"TACTILE-SWITCH-1101NE";"PROGRAM";"Various NO switches- pushbuttons, reed, etc";"C&K Components";"RS-282G05A3-SM RT";"";"";"";"";
"1";"TPS61200";"TPS61200";"QFN-10_PAD";"U2";"DC to DC Booster";"Texas Instruments";"TPS61200DRCR";"";"";"IC-10035";"";
